Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.92,0.689,60,540,430,4665,2064,1555,474,35,54,0.983,4,1,0,-1,0
Atlanta Braves,48,4.8,0.692,60,540,400,4719,2140,1573,533,34,52,0.984,-6,-2,-7,-2,0
Baltimore Orioles,45,4.9,0.698,60,540,379,4668,2110,1556,511,43,42,0.98,22,6,1,-1,-5
Boston Red Sox,47,5.85,0.647,60,540,415,4716,2139,1572,522,45,59,0.979,-25,-6,0,-3,-3
Chicago Cubs,45,4,0.708,60,540,356,4665,2144,1555,559,30,46,0.986,32,8,28,1,1
Chicago White Sox,46,4.1,0.712,60,540,433,4743,2137,1581,517,39,48,0.982,22,6,30,7,-4
Cincinnati Reds,43,4.05,0.707,60,540,395,4536,1981,1512,442,27,36,0.986,-6,-2,4,0,1
Cleveland Indians,39,3.48,0.701,60,540,407,4824,2138,1608,500,30,46,0.986,18,5,29,1,1
Colorado Rockies,40,5.88,0.675,60,540,385,4737,2255,1579,633,43,78,0.981,7,2,19,1,2
Detroit Tigers,44,5.48,0.69,58,522,389,4431,2008,1477,502,29,46,0.986,-2,-1,-13,-3,0
Houston Astros,42,4.58,0.703,60,540,431,4716,2138,1572,546,20,48,0.991,12,3,11,0,2
Kansas City Royals,48,4.53,0.683,60,540,381,4653,2085,1551,503,31,62,0.985,2,0,-3,0,3
Los Angeles Angels,45,5.35,0.698,60,540,425,4728,2097,1576,485,36,36,0.983,-18,-5,-24,0,3
Los Angeles Dodgers,38,3.55,0.729,60,540,404,4848,2200,1616,544,40,46,0.982,35,9,28,0,-1
Miami Marlins,61,5.07,0.686,60,540,374,4536,2101,1512,549,40,60,0.981,-13,-3,1,1,-2
Milwaukee Brewers,43,4.4,0.687,60,540,371,4656,2081,1552,494,35,45,0.983,-13,-3,-10,0,3
Minnesota Twins,42,3.58,0.703,60,540,416,4620,2019,1540,459,20,39,0.99,13,3,22,-1,-2
New York Mets,46,5.13,0.668,60,540,369,4620,2066,1540,494,32,39,0.985,-33,-9,-16,-5,-4
New York Yankees,42,4.5,0.695,60,540,384,4506,2022,1502,472,48,37,0.976,0,0,1,0,0
Oakland Athletics,37,3.87,0.703,60,540,414,4638,2061,1546,489,26,33,0.987,3,1,-17,-5,2
Philadelphia Phillies,46,5.18,0.642,60,540,395,4473,2063,1491,536,36,57,0.983,-38,-10,-32,-1,-1
Pittsburgh Pirates,49,4.97,0.697,60,540,428,4617,2097,1539,511,47,53,0.978,3,1,24,0,2
San Diego Padres,46,4.02,0.695,60,540,408,4683,2096,1561,502,33,46,0.984,9,2,5,0,-4
Seattle Mariners,48,5.05,0.708,60,540,425,4650,2075,1550,502,23,48,0.989,-2,-1,14,0,-2
San Francisco Giants,44,4.95,0.699,60,540,373,4659,2086,1553,491,42,43,0.98,7,2,4,0,2
St. Louis Cardinals,44,3.95,0.731,58,522,374,4257,1941,1419,489,33,46,0.983,26,7,36,1,3
Tampa Bay Rays,43,3.82,0.693,60,540,355,4749,2157,1583,541,33,52,0.985,10,2,26,2,-1
Texas Rangers,49,5.2,0.704,60,540,430,4650,2057,1550,467,40,40,0.981,5,1,10,0,1
Toronto Blue Jays,48,5.2,0.681,60,540,396,4722,2143,1574,530,39,47,0.982,4,1,-34,-1,1
Washington Nationals,43,5.02,0.664,60,540,435,4533,2012,1511,462,39,48,0.981,-22,-6,-48,-1,0
