Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,37,27.4,5.02,55,2076,1864,276,487,107,12,64,262,51,8,166,414,0.261,0.324,0.435,0.759,107,810,40,16,11,18,4,357
Atlanta Braves,38,27.9,5.05,55,2076,1861,278,478,98,4,91,269,36,8,181,478,0.257,0.329,0.461,0.789,111,857,48,23,0,11,6,357
Baltimore Orioles,33,27.2,4.96,55,2091,1850,273,464,100,10,64,265,45,10,199,448,0.251,0.326,0.419,0.745,107,776,47,15,9,18,5,364
Boston Red Sox,38,28.6,5.2,54,2068,1851,281,489,120,4,61,271,31,6,175,431,0.264,0.334,0.432,0.766,105,800,43,24,5,11,3,365
Chicago Cubs,37,28.7,4.54,54,2080,1837,245,468,82,7,66,237,41,12,207,497,0.255,0.333,0.415,0.748,104,762,32,17,2,15,4,409
Chicago White Sox,41,27.9,4.32,57,2123,1939,246,466,101,7,59,241,31,5,139,475,0.24,0.297,0.391,0.688,88,758,39,23,6,12,8,357
Cincinnati Reds,40,27.5,4.65,54,2062,1822,251,469,101,10,42,242,43,17,192,491,0.257,0.334,0.393,0.727,92,716,32,24,9,15,3,386
Cleveland Guardians,35,27,3.48,54,1994,1788,188,409,92,10,30,172,46,9,170,382,0.229,0.298,0.342,0.64,81,611,39,15,4,17,16,361
Colorado Rockies,42,29.4,4.57,56,2098,1895,256,498,127,7,47,246,19,6,164,477,0.263,0.323,0.412,0.735,89,780,46,15,3,20,2,374
Detroit Tigers,35,27.3,3.79,53,2020,1801,201,412,85,3,46,195,33,8,190,474,0.229,0.306,0.356,0.662,85,641,35,16,2,10,5,399
Houston Astros,32,28.6,4.52,54,2020,1804,244,441,89,4,56,233,29,9,169,435,0.244,0.315,0.391,0.707,94,706,45,25,3,15,6,354
Kansas City Royals,39,26.8,3.95,56,2079,1881,221,437,94,13,56,211,40,7,152,511,0.232,0.296,0.385,0.681,87,725,28,25,4,16,6,363
Los Angeles Angels,41,28.9,4.79,56,2137,1899,268,486,84,6,73,264,26,8,179,493,0.256,0.327,0.422,0.749,105,801,47,32,0,22,4,391
Los Angeles Dodgers,39,30.8,5.59,56,2164,1878,313,452,106,11,93,302,30,8,238,498,0.241,0.329,0.457,0.786,109,859,24,20,0,24,9,383
Miami Marlins,40,29.8,3.76,55,2054,1865,207,483,80,9,54,196,44,11,152,471,0.259,0.319,0.398,0.717,96,743,59,16,10,9,11,384
Milwaukee Brewers,43,27.6,4,54,1969,1756,216,405,66,3,64,206,42,10,181,500,0.231,0.307,0.381,0.688,89,669,48,17,2,11,4,335
Minnesota Twins,40,28.7,4.51,55,2101,1859,248,431,84,7,74,235,23,6,199,560,0.232,0.314,0.404,0.718,99,751,37,29,5,9,5,389
New York Mets,41,29.8,4.45,55,2076,1829,245,451,74,9,63,236,38,6,193,405,0.247,0.326,0.4,0.727,101,732,35,32,5,17,2,388
New York Yankees,40,28.9,4.79,57,2109,1893,273,458,74,8,87,265,41,14,182,475,0.242,0.312,0.427,0.739,103,809,37,17,2,15,6,334
Oakland Athletics,45,27.9,3.47,57,2130,1887,198,416,73,6,57,191,53,13,186,532,0.22,0.301,0.356,0.657,88,672,41,34,12,9,7,392
Philadelphia Phillies,36,28.6,4.2,54,2037,1839,227,467,103,11,55,218,35,10,165,489,0.254,0.319,0.412,0.73,100,757,32,16,3,13,8,385
Pittsburgh Pirates,37,28.3,4.3,54,2025,1786,232,433,101,13,53,220,58,19,193,455,0.242,0.32,0.403,0.722,97,719,34,18,10,18,2,364
San Diego Padres,36,29.3,4.13,54,2036,1763,223,392,88,4,63,211,42,10,232,481,0.222,0.317,0.384,0.701,97,677,39,18,7,13,6,379
Seattle Mariners,38,27.8,4.51,55,2076,1843,248,423,95,4,61,239,33,13,188,528,0.23,0.31,0.385,0.695,96,709,33,32,1,12,3,367
San Francisco Giants,39,28.9,4.6,55,2101,1878,253,464,89,3,76,250,32,8,180,538,0.247,0.32,0.419,0.739,101,787,29,26,5,11,2,397
St. Louis Cardinals,36,27.9,4.79,57,2186,1949,273,493,100,5,76,263,44,10,203,466,0.253,0.327,0.426,0.753,106,831,40,16,4,12,10,398
Tampa Bay Rays,40,26.9,5.89,57,2169,1926,336,518,102,9,101,323,75,16,191,475,0.269,0.343,0.489,0.832,134,941,35,35,2,15,1,364
Texas Rangers,35,28.3,6.37,54,2111,1880,344,511,109,7,71,330,33,11,180,475,0.272,0.34,0.451,0.79,117,847,30,24,5,21,4,349
Toronto Blue Jays,32,28.9,4.8,55,2138,1925,264,513,99,6,62,248,42,12,181,435,0.266,0.334,0.421,0.755,111,810,43,19,2,11,4,409
Washington Nationals,33,26.9,4.18,55,2082,1878,230,494,91,9,39,220,27,8,157,390,0.263,0.328,0.383,0.711,99,720,43,28,8,10,0,400
