,Tm,BatAge,R/G,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,HBP_x,SH,SF,LOB_x,PAge,RA/G,W,L,W-L%,tSho,SV,H_y,R_y,HR_y,BB_y,IBB,SO_y,HBP_y,BF,LOB_y,DefEff,Ch,PO,A,E,DP
0,Arizona Diamondbacks,27.4,5.02,1864,276,487,107,12,64,262,51,8,166,414,16,11,18,357,28.6,4.71,32,23,0.582,4,15,460,259,63,197,4,463,13,2083,363,0.697,1985,1465,501,19,38
1,Atlanta Braves,27.9,5.05,1861,278,478,98,4,91,269,36,8,181,478,23,0,11,357,30.2,4.04,32,23,0.582,5,13,449,222,51,176,4,524,25,2064,385,0.673,1951,1461,454,36,48
2,Baltimore Orioles,27.2,4.96,1850,273,464,100,10,64,265,45,10,199,448,15,9,18,364,28.4,4.38,35,20,0.636,4,18,474,241,64,177,9,496,17,2099,377,0.683,1992,1490,478,24,61
3,Boston Red Sox,28.6,5.2,1851,281,489,120,4,61,271,31,6,175,431,24,5,11,365,31.0,5.02,28,26,0.519,0,14,465,271,76,162,2,450,26,2047,356,0.691,1922,1422,466,34,37
4,Chicago Cubs,28.7,4.54,1837,245,468,82,7,66,237,41,12,207,497,17,2,15,409,29.9,4.43,24,30,0.444,6,7,444,239,51,163,3,453,20,2006,339,0.69,1956,1434,497,25,55
5,Chicago White Sox,27.9,4.32,1939,246,466,101,7,59,241,31,5,139,475,23,6,12,357,29.7,5.16,23,34,0.404,3,10,475,294,79,227,4,529,33,2208,415,0.691,1959,1507,424,28,39
6,Cincinnati Reds,27.5,4.65,1822,251,469,101,10,42,242,43,17,192,491,24,9,15,386,27.9,5.07,25,29,0.463,3,16,499,274,65,197,3,489,25,2099,403,0.661,1877,1426,429,22,42
7,Cleveland Guardians,27.0,3.48,1788,188,409,92,10,30,172,46,9,170,382,15,4,17,361,26.3,4.15,24,30,0.444,5,20,456,224,54,150,2,409,17,2035,370,0.701,1986,1451,507,28,37
8,Colorado Rockies,29.4,4.57,1895,256,498,127,7,47,246,19,6,164,477,15,3,20,374,29.6,5.55,24,32,0.429,4,11,517,311,74,211,2,405,19,2145,376,0.678,2034,1458,545,31,58
9,Detroit Tigers,27.3,3.79,1801,201,412,85,3,46,195,33,8,190,474,16,2,10,399,28.8,4.87,25,28,0.472,4,13,448,258,68,146,4,419,16,2003,334,0.705,1919,1422,468,29,37
